ALXN	AZO	0.998834
MCK	UHS	0.998767
EXPE	KHC	0.998729
EXC	PX	0.998692
LUK	PRGO	0.998495
KLAC	UAL	0.998493
BWA	GM	0.998383
ETR	GT	0.998192
GPS	KMI	0.998054
URI	VLO	0.998003
